Lap,Lap,T1,T2,T3,T4,Speed,Lap_seconds,driver_num
1,1'57.590,30.939,31.076,27.424,28.151,222.6,117.59,36
2,1'53.636,28.131,30.441,27.215,27.849,348.3,113.636,36
3,1'53.457,28.041,30.381,27.15,27.885,352.9,113.457,36
4,1'53.523,28.011,30.373,27.262,27.877,352.9,113.523,36
5,1'53.967,28.069,30.472,27.335,28.091,351.7,113.967,36
6,1'53.491,27.99,30.435,27.193,27.873,352.9,113.491,36
7,1'53.606,28.074,30.394,27.295,27.843,348.3,113.606,36
8,1'53.939,28.037,30.633,27.251,28.018,352.9,113.939,36
9,1'53.573,28.042,30.398,27.214,27.919,349.5,113.573,36
10,1'53.700,28.009,30.489,27.279,27.923,350.6,113.7,36
11,1'53.630,27.959,30.456,27.339,27.876,349.5,113.63,36
12,1'53.783,27.966,30.549,27.362,27.906,351.7,113.783,36
13,1'53.755,28.037,30.507,27.369,27.842,350.6,113.755,36
14,1'53.739,27.961,30.595,27.329,27.854,355.2,113.739,36
15,1'53.688,27.989,30.569,27.278,27.852,355.2,113.688,36
16,1'54.019,28.012,30.481,27.41,28.116,343.9,114.019,36
17,1'54.227,28.111,30.641,27.465,28.01,342.8,114.227,36
18,1'53.938,28.079,30.423,27.426,28.01,346.1,113.938,36
19,1'54.127,28.039,30.567,27.438,28.083,345,114.127,36
20,1'53.962,28.165,30.531,27.27,27.996,342.8,113.962,36
21,1'53.956,28.148,30.611,27.231,27.966,349.5,113.956,36
